playerID,team_id,fullName,posType,position 
8476419,9,Jean-Gabriel Pageau,Forward,C
8476879,9,Cody Ceci,Defenseman,D
8476919,9,Chris Tierney,Forward,C
8477407,9,Anthony Duclair,Forward,LW
8477433,9,Ben Harpur,Defenseman,D
8478400,9,Colin White,Forward,C
8478469,9,Thomas Chabot,Defenseman,D
8478868,9,Christian Jaros,Defenseman,D
8478916,9,Joey Daccord,Goalie,G
8480314,9,Max Veronneau,Forward,RW
8480801,9,Brady Tkachuk,Forward,LW
8466139,10,Patrick Marleau,Forward,C
8468493,10,Ron Hainsey,Defenseman,D
8474162,10,Jake Muzzin,Defenseman,D
8474581,10,Jake Gardiner,Defenseman,D
8474589,10,Tyler Ennis,Forward,LW
8474636,10,Michael Hutchinson,Goalie,G
8475166,10,John Tavares,Forward,C
8475172,10,Nazem Kadri,Forward,C
8475716,10,Martin Marincin,Defenseman,D
8475718,10,Justin Holl,Defenseman,D
8475786,10,Zach Hyman,Forward,LW
8475883,10,Frederik Andersen,Goalie,G
8476343,10,Garret Sparks,Goalie,G
8476853,10,Morgan Rielly,Defenseman,D
8477015,10,Connor Brown,Forward,RW
8477341,10,Andreas Johnsson,Forward,LW
8477464,10,Nic Petan,Forward,C
8477512,10,Frederik Gauthier,Forward,C
8477939,10,William Nylander,Forward,RW
8477953,10,Kasperi Kapanen,Forward,RW
8478408,10,Travis Dermott,Defenseman,D
8478483,10,Mitchell Marner,Forward,RW
8479318,10,Auston Matthews,Forward,C
8479361,10,Joseph Woll,Goalie,G
8479458,10,Nikita Zaitsev,Defenseman,D
8479675,10,Trevor Moore,Forward,LW
8480157,10,Calle Rosen,Defenseman,D
8480943,10,Igor Ozhiganov,Defenseman,D
8468508,12,Justin Williams,Forward,RW
8470147,12,Curtis McElhinney,Goalie,G
8473533,12,Jordan Staal,Forward,C
8475177,12,Calvin de Haan,Defenseman,D
8475735,12,Greg McKegg,Forward,C
8475753,12,Justin Faulk,Defenseman,D
8475799,12,Nino Niederreiter,Forward,RW
8475852,12,Petr Mrazek,Goalie,G
8475907,12,Micheal Ferland,Forward,LW
8476462,12,Dougie Hamilton,Defenseman,D
8476882,12,Teuvo Teravainen,Forward,LW
8476921,12,Jordan Martinook,Forward,LW
8476934,12,Brock McGinn,Forward,LW
8476958,12,Jaccob Slavin,Defenseman,D
8477357,12,Saku Maenalanen,Forward,RW
8477488,12,Brett Pesce,Defenseman,D
8477845,12,Trevor van Riemsdyk,Defenseman,D
8477887,12,Patrick Brown,Forward,C
8477938,12,Haydn Fleury,Defenseman,D
8477998,12,Warren Foegele,Forward,LW
8478027,12,Lucas Wallmark,Forward,C
8478427,12,Sebastian Aho,Forward,C
